"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2560","GO:0009953",0.365925577126985,0.738285416687734,14,90,"dorsal/ventral pattern formation","BP"
"1559","GO:0006545",0.365934932788932,0.897148509714718,2,5,"glycine biosynthetic process","BP"
"7060","GO:0045725",0.365956394541243,0.841194278456127,3,17,"positive regulation of glycogen biosynthetic process","BP"
"14248","GO:1905937",0.36610209994359,0.908519075518481,2,4,"negative regulation of germ cell proliferation","BP"
"14570","GO:2000255",0.36610209994359,0.908519075518481,2,4,"negative regulation of male germ cell proliferation","BP"
"13276","GO:1903749",0.36613424705881,0.767608876916419,9,37,"positive regulation of establishment of protein localization to mitochondrion","BP"
"8257","GO:0051241",0.366227124808432,0.663762536618943,201,1102,"negative regulation of multicellular organismal process","BP"
"1419","GO:0006325",0.366228784422125,0.660191451262244,269,1397,"chromatin organization","BP"
"10295","GO:0071724",0.366261338889109,0.908447514713795,2,4,"response to diacyl bacterial lipopeptide","BP"
"10297","GO:0071726",0.366261338889109,0.908447514713795,2,4,"cellular response to diacyl bacterial lipopeptide","BP"
"4135","GO:0030206",0.366265891497978,0.80007295863758,6,19,"chondroitin sulfate biosynthetic process","BP"
"7163","GO:0045917",0.366302675372951,0.908428933485828,2,4,"positive regulation of complement activation","BP"
"2016","GO:0007296",0.366373408872038,0.908397133256652,2,4,"vitellogenesis","BP"
"11439","GO:0098930",0.36637998870842,0.743417682889731,13,69,"axonal transport","BP"
"7439","GO:0046543",0.366472719396395,0.88528398359181,2,7,"development of secondary female sexual characteristics","BP"
"1934","GO:0007162",0.366604573566421,0.686587818501057,62,290,"negative regulation of cell adhesion","BP"
"5849","GO:0036065",0.366712816523564,0.822666268492798,4,17,"fucosylation","BP"
"12621","GO:1902109",0.366721331848775,0.908240628290809,2,4,"negative regulation of mitochondrial membrane permeability involved in apoptotic process","BP"
"7403","GO:0046470",0.366751788453229,0.753592386421186,10,77,"phosphatidylcholine metabolic process","BP"
"4125","GO:0030194",0.366845118343783,0.801588396611748,5,27,"positive regulation of blood coagulation","BP"
"12106","GO:1900048",0.366845118343783,0.801588396611748,5,27,"positive regulation of hemostasis","BP"
"4661","GO:0032371",0.366905507065058,0.756043945056029,10,58,"regulation of sterol transport","BP"
"4664","GO:0032374",0.366905507065058,0.756043945056029,10,58,"regulation of cholesterol transport","BP"
"5776","GO:0035880",0.366963142596463,0.90813177077171,2,4,"embryonic nail plate morphogenesis","BP"
"6879","GO:0045104",0.367040484246637,0.731568895812136,16,96,"intermediate filament cytoskeleton organization","BP"
"2587","GO:0010044",0.367162330550906,0.908042048874288,2,4,"response to aluminum ion","BP"
"8675","GO:0060041",0.367295724964214,0.709236526191864,27,175,"retina development in camera-type eye","BP"
"10048","GO:0071284",0.367311462311069,0.896461428122128,2,5,"cellular response to lead ion","BP"
"3255","GO:0015910",0.367405263615026,0.907932558704495,2,4,"long-chain fatty acid import into peroxisome","BP"
"1398","GO:0006282",0.367567498532448,0.694493821618058,44,225,"regulation of DNA repair","BP"
"14481","GO:2000078",0.36779089469442,0.930638449033908,2,3,"positive regulation of type B pancreatic cell development","BP"
"5831","GO:0036005",0.367820974866564,0.749968668295646,11,64,"response to macrophage colony-stimulating factor","BP"
"8139","GO:0050995",0.367922403429166,0.800249005626709,5,28,"negative regulation of lipid catabolic process","BP"
"4558","GO:0032107",0.367956650207241,0.787235348422342,6,34,"regulation of response to nutrient levels","BP"
"8429","GO:0051645",0.367958412002068,0.828540172190658,4,13,"Golgi localization","BP"
"6040","GO:0038157",0.367994545951925,0.907666677139799,2,4,"granulocyte-macrophage colony-stimulating factor signaling pathway","BP"
"8361","GO:0051480",0.368003374853284,0.759743238214337,9,60,"regulation of cytosolic calcium ion concentration","BP"
"14666","GO:2000392",0.368011859278344,0.827208246970795,5,11,"regulation of lamellipodium morphogenesis","BP"
"3546","GO:0019064",0.368065658256705,0.896083962796254,2,5,"fusion of virus membrane with host plasma membrane","BP"
"6086","GO:0039663",0.368065658256705,0.896083962796254,2,5,"membrane fusion involved in viral entry into host cell","BP"
"10845","GO:0090086",0.368265604442928,0.907544238095037,2,4,"negative regulation of protein deubiquitination","BP"
"12126","GO:1900100",0.36831862312141,0.907520278960401,2,4,"positive regulation of plasma cell differentiation","BP"
"10169","GO:0071480",0.368327088661589,0.782238152690966,7,28,"cellular response to gamma radiation","BP"
"2939","GO:0010970",0.368371049554324,0.703333689480631,32,177,"transport along microtubule","BP"
"6082","GO:0039535",0.368393194038495,0.789337078330642,7,21,"regulation of RIG-I signaling pathway","BP"
"7516","GO:0046718",0.368418522216532,0.715289845299312,23,130,"symbiont entry into host cell","BP"
"2233","GO:0008645",0.368436726631244,0.731364035220012,15,117,"hexose transmembrane transport","BP"
"6878","GO:0045103",0.368487126021867,0.730201036324335,16,97,"intermediate filament-based process","BP"
"12961","GO:1903034",0.368511918965459,0.703503887330907,32,170,"regulation of response to wounding","BP"
"11149","GO:0097104",0.368516303622683,0.880792343947078,2,8,"postsynaptic membrane assembly","BP"
"13570","GO:1904353",0.368546437036411,0.815820261924659,5,14,"regulation of telomere capping","BP"
"10177","GO:0071493",0.368568511027581,0.830698762901531,4,12,"cellular response to UV-B","BP"
"14509","GO:2000145",0.368611916265776,0.662375365681847,189,1016,"regulation of cell motility","BP"
"8773","GO:0060193",0.368641275903287,0.816713881424335,4,22,"positive regulation of lipase activity","BP"
"6634","GO:0043524",0.368660977699319,0.703551359855628,32,166,"negative regulation of neuron apoptotic process","BP"
"2813","GO:0010761",0.368710926426519,0.740389137585559,15,52,"fibroblast migration","BP"
"2474","GO:0009607",0.368720250010735,0.656118419145223,308,1663,"response to biotic stimulus","BP"
"5191","GO:0033627",0.368747557107108,0.724771612587553,19,89,"cell adhesion mediated by integrin","BP"
"3436","GO:0017145",0.368768982354309,0.79752329780305,5,33,"stem cell division","BP"
"1264","GO:0006044",0.368806784798612,0.807937812742517,5,18,"N-acetylglucosamine metabolic process","BP"
"3559","GO:0019086",0.369117936760102,0.907158663732809,2,4,"late viral transcription","BP"
"9392","GO:0061326",0.369142447260674,0.719346251292377,21,106,"renal tubule development","BP"
"11232","GO:0097360",0.369205697094209,0.895512021405273,2,5,"chorionic trophoblast cell proliferation","BP"
"12392","GO:1901382",0.369205697094209,0.895512021405273,2,5,"regulation of chorionic trophoblast cell proliferation","BP"
"6981","GO:0045598",0.369346721561275,0.708585891280203,28,131,"regulation of fat cell differentiation","BP"
"13523","GO:1904257",0.369360963192939,0.930089752434019,2,3,"zinc ion import into Golgi lumen","BP"
"4346","GO:0031113",0.369437109569556,0.741459020631467,13,65,"regulation of microtubule polymerization","BP"
"9340","GO:0061157",0.369492064000355,0.720071452669281,21,96,"mRNA destabilization","BP"
"8870","GO:0060348",0.369649895885522,0.693330706033016,43,217,"bone development","BP"
"5415","GO:0034504",0.369748664015141,0.681781553713931,66,322,"protein localization to nucleus","BP"
"6845","GO:0045017",0.36983058154805,0.689100196683909,50,241,"glycerolipid biosynthetic process","BP"
"5517","GO:0035166",0.369859400865307,0.888204752274864,3,5,"post-embryonic hemopoiesis","BP"
"11696","GO:0120035",0.36986229788406,0.667776113266524,127,637,"regulation of plasma membrane bounded cell projection organization","BP"
"7775","GO:0048550",0.369927645108293,0.895148978593062,2,5,"negative regulation of pinocytosis","BP"
"9061","GO:0060627",0.369964513234113,0.671162977676019,105,533,"regulation of vesicle-mediated transport","BP"
"179","GO:0001501",0.369965851802069,0.671126854055615,105,537,"skeletal system development","BP"
"1784","GO:0006874",0.370037834981953,0.686227076824891,53,303,"intracellular calcium ion homeostasis","BP"
"10171","GO:0071482",0.370154961634726,0.714403483446956,23,120,"cellular response to light stimulus","BP"
"906","GO:0002827",0.37023561506442,0.806877712270744,5,18,"positive regulation of T-helper 1 type immune response","BP"
"374","GO:0001933",0.370283099630719,0.695023704382434,40,200,"negative regulation of protein phosphorylation","BP"
"5600","GO:0035458",0.370335946276907,0.788897042327299,6,27,"cellular response to interferon-beta","BP"
"10977","GO:0090288",0.37055878230966,0.719662315216912,20,106,"negative regulation of cellular response to growth factor stimulus","BP"
"5454","GO:0034755",0.370824763125579,0.802002227726756,5,22,"iron ion transmembrane transport","BP"
"5735","GO:0035787",0.370834070202015,0.887625765839959,2,6,"cell migration involved in kidney development","BP"
"9972","GO:0071027",0.370901181751751,0.822538032944816,4,15,"nuclear RNA surveillance","BP"
"9248","GO:0060993",0.371039407485009,0.718343620801178,21,99,"kidney morphogenesis","BP"
"6346","GO:0042726",0.371040392639917,0.88751564087743,2,6,"flavin-containing compound metabolic process","BP"
"7343","GO:0046328",0.371127457812177,0.70286884832578,32,139,"regulation of JNK cascade","BP"
"5169","GO:0033590",0.37113299927025,0.906243654842693,2,4,"response to cobalamin","BP"
"6042","GO:0038159",0.371206341131162,0.8945043433794,2,5,"C-X-C chemokine receptor CXCR4 signaling pathway","BP"
"11040","GO:0090402",0.371267478720151,0.872546203753618,3,6,"oncogene-induced cell senescence","BP"
"5268","GO:0034138",0.37127962749207,0.78146095030872,7,26,"toll-like receptor 3 signaling pathway","BP"
"1933","GO:0007161",0.371314968661071,0.906160786703399,2,4,"calcium-independent cell-matrix adhesion","BP"
"3955","GO:0021873",0.371505664813361,0.88726709656021,2,6,"forebrain neuroblast division","BP"
"8287","GO:0051294",0.371609213356093,0.754703853029401,10,47,"establishment of spindle orientation","BP"
"13196","GO:1903557",0.371808448397764,0.707610747086937,29,108,"positive regulation of tumor necrosis factor superfamily cytokine production","BP"
"1748","GO:0006811",0.371810365503071,0.658055929810435,199,1272,"monoatomic ion transport","BP"
"11878","GO:0140742",0.371830948346324,0.894188702062814,2,5,"lncRNA transcription","BP"
"8462","GO:0051712",0.371915404653614,0.90588706972858,2,4,"positive regulation of killing of cells of another organism","BP"
"7863","GO:0048709",0.371930593926336,0.716656368480137,21,108,"oligodendrocyte differentiation","BP"
"4794","GO:0032640",0.371933280817194,0.696144423820579,38,168,"tumor necrosis factor production","BP"
"4823","GO:0032680",0.371933280817194,0.696144423820579,38,168,"regulation of tumor necrosis factor production","BP"
"11248","GO:0097421",0.37204841644288,0.796157635799088,5,30,"liver regeneration","BP"
"3675","GO:0019563",0.372158502992537,0.886917878209009,2,6,"glycerol catabolic process","BP"
"5270","GO:0034140",0.372221708330477,0.929083688636847,2,3,"negative regulation of toll-like receptor 3 signaling pathway","BP"
"5273","GO:0034143",0.372271657535371,0.778406791283908,7,29,"regulation of toll-like receptor 4 signaling pathway","BP"
"12998","GO:1903115",0.37230649163372,0.760796123363568,9,41,"regulation of actin filament-based movement","BP"
"11156","GO:0097114",0.372324761748041,0.893938805434094,2,5,"NMDA glutamate receptor clustering","BP"
"9915","GO:0070875",0.372521545321017,0.834481749934244,3,20,"positive regulation of glycogen metabolic process","BP"
"3548","GO:0019068",0.37253614455619,0.76904385608782,8,34,"virion assembly","BP"
"9704","GO:0070232",0.372697189119625,0.760101286265897,9,42,"regulation of T cell apoptotic process","BP"
"10639","GO:0072531",0.372738027782378,0.81968520114925,4,16,"pyrimidine-containing compound transmembrane transport","BP"
"1808","GO:0006909",0.372849691514501,0.688835759935862,45,232,"phagocytosis","BP"
"1300","GO:0006099",0.373003498714342,0.775543998779852,7,33,"tricarboxylic acid cycle","BP"
"2615","GO:0010226",0.373106909441177,0.819421032751396,4,16,"response to lithium ion","BP"
"14526","GO:2000179",0.373184437967302,0.747631431946585,11,53,"positive regulation of neural precursor cell proliferation","BP"
"3159","GO:0015749",0.373257591584129,0.726935317513439,15,120,"monosaccharide transmembrane transport","BP"
"459","GO:0002053",0.37330293877944,0.796653168274339,5,27,"positive regulation of mesenchymal cell proliferation","BP"
"4513","GO:0031998",0.373454707734349,0.814732187625489,4,20,"regulation of fatty acid beta-oxidation","BP"
"2795","GO:0010743",0.373468866969077,0.808917007388551,4,31,"regulation of macrophage derived foam cell differentiation","BP"
"870","GO:0002763",0.373553501142312,0.735896669663966,14,61,"positive regulation of myeloid leukocyte differentiation","BP"
"7546","GO:0046847",0.373555208373315,0.734286873638618,14,69,"filopodium assembly","BP"
"2140","GO:0008037",0.373658276866482,0.707785504337411,24,157,"cell recognition","BP"
"14817","GO:2000629",0.373739207490243,0.762023296448676,10,30,"negative regulation of miRNA metabolic process","BP"
"12395","GO:1901385",0.373775270268967,0.813686146582065,4,21,"regulation of voltage-gated calcium channel activity","BP"
"13995","GO:1905289",0.37392697226503,0.893125861498281,2,5,"regulation of CAMKK-AMPK signaling cascade","BP"
"5029","GO:0033032",0.374007304031997,0.768386018324205,8,33,"regulation of myeloid cell apoptotic process","BP"
"432","GO:0002011",0.374093767337153,0.734766194439732,14,64,"morphogenesis of an epithelial sheet","BP"
"9745","GO:0070314",0.374156748380259,0.801450965281555,5,20,"G1 to G0 transition","BP"
"1303","GO:0006103",0.374263273459075,0.817250289932307,4,17,"2-oxoglutarate metabolic process","BP"
"5192","GO:0033628",0.374312829000531,0.751835791979039,10,49,"regulation of cell adhesion mediated by integrin","BP"
"14381","GO:1990748",0.374680294362701,0.70862031288313,24,125,"cellular detoxification","BP"
"7014","GO:0045636",0.374729235042828,0.892717572787567,2,5,"positive regulation of melanocyte differentiation","BP"
"10896","GO:0090162",0.374849652839384,0.793186424917202,5,32,"establishment of epithelial cell polarity","BP"
"12060","GO:0170035",0.374933510207476,0.746818276567513,10,75,"L-amino acid catabolic process","BP"
"14980","GO:2000978",0.374960264093414,0.928112928311939,2,3,"negative regulation of forebrain neuron differentiation","BP"
"13322","GO:1903829",0.375068534862754,0.666955866067422,103,491,"positive regulation of protein localization","BP"
"14901","GO:2000765",0.375135823906523,0.772490754553741,7,36,"regulation of cytoplasmic translation","BP"
"4388","GO:0031296",0.375184826035819,0.928032991886049,2,3,"B cell costimulation","BP"
"12857","GO:1902803",0.375361826102147,0.892395054391441,2,5,"regulation of synaptic vesicle transport","BP"
"9770","GO:0070373",0.375367703549325,0.730717305377135,15,66,"negative regulation of ERK1 and ERK2 cascade","BP"
"11679","GO:0110110",0.375444150383132,0.766155057615913,8,35,"positive regulation of animal organ morphogenesis","BP"
"12450","GO:1901642",0.375547007672444,0.876798562379811,2,8,"nucleoside transmembrane transport","BP"
"8905","GO:0060397",0.375554471423441,0.829133988585278,4,11,"growth hormone receptor signaling pathway via JAK-STAT","BP"
"13307","GO:1903800",0.37564460663287,0.892250717068516,2,5,"positive regulation of miRNA processing","BP"
"5525","GO:0035235",0.375734604060739,0.771327982612008,8,27,"ionotropic glutamate receptor signaling pathway","BP"
"8586","GO:0055001",0.375774790338005,0.694292112635019,34,192,"muscle cell development","BP"
"11161","GO:0097119",0.375945644821282,0.871916872911546,2,10,"postsynaptic density protein 95 clustering","BP"
"13270","GO:1903727",0.376100968716946,0.817271077981111,4,16,"positive regulation of phospholipid metabolic process","BP"
"14764","GO:2000543",0.376267804518553,0.879862010747382,2,7,"positive regulation of gastrulation","BP"
"5527","GO:0035239",0.376492172451803,0.65686643029831,164,878,"tube morphogenesis","BP"
"6662","GO:0043588",0.376565386010824,0.684075413180765,44,321,"skin development","BP"
"3772","GO:0021540",0.376615293898737,0.884518894429968,2,6,"corpus callosum morphogenesis","BP"
"14484","GO:2000097",0.376756885841798,0.903664221732911,2,4,"regulation of smooth muscle cell-matrix adhesion","BP"
"10892","GO:0090156",0.376763817059359,0.8916784447457,2,5,"intracellular sphingolipid homeostasis","BP"
"1153","GO:0003309",0.376833819503048,0.775446133001168,7,28,"type B pancreatic cell differentiation","BP"
"11756","GO:0120316",0.376849565706953,0.766490540428534,7,54,"sperm flagellum assembly","BP"
"13909","GO:1905050",0.376866936874669,0.891625637113666,2,5,"positive regulation of metallopeptidase activity","BP"
"11850","GO:0140507",0.376938332840101,0.828185537669775,4,11,"granzyme-mediated programmed cell death signaling pathway","BP"
"10019","GO:0071224",0.377112469840227,0.88424965682743,2,6,"cellular response to peptidoglycan","BP"
"8027","GO:0050802",0.377138805987388,0.833568247841696,3,17,"circadian sleep/wake cycle, sleep","BP"
"1516","GO:0006487",0.377181516200863,0.721536647805322,18,73,"protein N-linked glycosylation","BP"
"7974","GO:0050673",0.3772075080068,0.670973354691511,74,435,"epithelial cell proliferation","BP"
"10711","GO:0072733",0.377230063823712,0.89143957152085,2,5,"response to staurosporine","BP"
"10712","GO:0072734",0.377230063823712,0.89143957152085,2,5,"cellular response to staurosporine","BP"
"11381","GO:0098761",0.377278029974678,0.799092826457151,5,20,"cellular response to interleukin-7","BP"
"9808","GO:0070475",0.377511470356799,0.848580165802342,3,9,"rRNA base methylation","BP"
"9687","GO:0070198",0.377595164374288,0.773491440610291,7,30,"protein localization to chromosome, telomeric region","BP"
"10912","GO:0090185",0.377703189664271,0.891196889336123,2,5,"negative regulation of kidney development","BP"
"536","GO:0002238",0.377873583762531,0.891109418214184,2,5,"response to molecule of fungal origin","BP"
"10488","GO:0072170",0.377973710477886,0.794269356754331,5,25,"metanephric tubule development","BP"
"722","GO:0002520",0.378094233260011,0.685468928567652,44,202,"immune system development","BP"
"14159","GO:1905684",0.378167675813295,0.878795523868664,2,7,"regulation of plasma membrane repair","BP"
"8260","GO:0051248",0.378206831899388,0.659889097631026,125,646,"negative regulation of protein metabolic process","BP"
"6644","GO:0043549",0.37820977779219,0.670656251678162,74,383,"regulation of kinase activity","BP"
"3205","GO:0015827",0.378253356102528,0.883630596334726,2,6,"tryptophan transport","BP"
"10480","GO:0072162",0.378328041909952,0.890875941951964,2,5,"metanephric mesenchymal cell differentiation","BP"
"11480","GO:0099084",0.378361497141636,0.742709076540971,11,55,"postsynaptic specialization organization","BP"
"6013","GO:0038098",0.378375173829897,0.902914936058265,2,4,"sequestering of BMP from receptor via BMP binding","BP"
"9028","GO:0060574",0.378417140796939,0.883541583553751,2,6,"intestinal epithelial cell maturation","BP"
"3070","GO:0014856",0.378437106096843,0.784003092750203,6,25,"skeletal muscle cell proliferation","BP"
"12378","GO:1901339",0.378458693705029,0.878631734384847,2,7,"regulation of store-operated calcium channel activity","BP"
"2827","GO:0010800",0.378556816630239,0.797069566904197,5,21,"positive regulation of peptidyl-threonine phosphorylation","BP"
"4440","GO:0031547",0.378569942176043,0.764912260963517,7,55,"brain-derived neurotrophic factor receptor signaling pathway","BP"
"10904","GO:0090175",0.378673280918405,0.883402306966591,2,6,"regulation of establishment of planar polarity","BP"
"10109","GO:0071378",0.378786745541591,0.781606832123758,6,28,"cellular response to growth hormone stimulus","BP"
"11926","GO:0141111",0.379076719290037,0.890490733908287,2,5,"positive regulation of cGAS/STING signaling pathway","BP"
"1799","GO:0006896",0.379082636400303,0.790290305383269,6,19,"Golgi to vacuole transport","BP"
"11140","GO:0097084",0.379154542629319,0.823367112258856,4,12,"vascular associated smooth muscle cell development","BP"
"12811","GO:1902633",0.379162594533313,0.90254920770554,2,4,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process","BP"
"3632","GO:0019405",0.379230940969225,0.878196550237209,2,7,"alditol catabolic process","BP"
"12496","GO:1901798",0.379284163638732,0.775080059744815,7,26,"positive regulation of signal transduction by p53 class mediator","BP"
"5410","GO:0034497",0.379367715354707,0.81491350082097,4,16,"protein localization to phagophore assembly site","BP"
"6731","GO:0044248",0.379457634901787,0.678820304374601,49,319,"cellular catabolic process","BP"
"3112","GO:0015669",0.379480265637366,0.786015189968362,6,22,"gas transport","BP"
"13426","GO:1904026",0.379538138963726,0.843567801941742,4,8,"regulation of collagen fibril organization","BP"
"1650","GO:0006656",0.379736941667794,0.790661881084075,5,29,"phosphatidylcholine biosynthetic process","BP"
"1966","GO:0007200",0.379844091736621,0.704379688765363,23,139,"phospholipase C-activating G protein-coupled receptor signaling pathway","BP"
"8330","GO:0051402",0.379938442103912,0.67436391324599,60,301,"neuron apoptotic process","BP"
"7348","GO:0046337",0.38018811575624,0.804586340935273,4,29,"phosphatidylethanolamine metabolic process","BP"
"10917","GO:0090190",0.380246076816487,0.830557004141099,3,18,"positive regulation of branching involved in ureteric bud morphogenesis","BP"
"6359","GO:0042749",0.380398892218053,0.829685485951823,3,19,"regulation of circadian sleep/wake cycle","BP"
"6526","GO:0043304",0.380468660646106,0.780921498181063,6,27,"regulation of mast cell degranulation","BP"
"5936","GO:0036344",0.380542577415328,0.763009657203424,9,27,"platelet morphogenesis","BP"
"7952","GO:0050000",0.380676698536559,0.699851825635211,27,123,"chromosome localization","BP"
"2850","GO:0010829",0.380782141228342,0.830183942647638,3,18,"negative regulation of D-glucose transmembrane transport","BP"
"6258","GO:0042446",0.380965855376677,0.738199032473453,11,67,"hormone biosynthetic process","BP"
"4179","GO:0030316",0.380972633536012,0.701649662176381,26,112,"osteoclast differentiation","BP"
"8170","GO:0051053",0.381124039001508,0.696393423152419,29,137,"negative regulation of DNA metabolic process","BP"
"10844","GO:0090085",0.381172626732908,0.825269628965808,4,11,"regulation of protein deubiquitination","BP"
"11297","GO:0097694",0.381203756111086,0.925871490690453,2,3,"establishment of RNA localization to telomere","BP"
"11298","GO:0097695",0.381203756111086,0.925871490690453,2,3,"establishment of protein-containing complex localization to telomere","BP"
"8847","GO:0060319",0.381211657810687,0.889388315294114,2,5,"primitive erythrocyte differentiation","BP"
"11526","GO:0099525",0.381411277727647,0.873416262252653,2,8,"presynaptic dense core vesicle exocytosis","BP"
"652","GO:0002420",0.381417483138081,0.842512570479797,3,10,"natural killer cell mediated cytotoxicity directed against tumor cell target","BP"
"8516","GO:0051900",0.381482123920097,0.794837667599594,5,21,"regulation of mitochondrial depolarization","BP"
"7793","GO:0048596",0.381488893663981,0.780821767088453,6,26,"embryonic camera-type eye morphogenesis","BP"
"6305","GO:0042592",0.381650135799605,0.643681954095556,298,1726,"homeostatic process","BP"
"55","GO:0000289",0.381671612896151,0.757683450029996,9,32,"nuclear-transcribed mRNA poly(A) tail shortening","BP"
"8460","GO:0051707",0.381895608340188,0.643536567935084,300,1620,"response to other organism","BP"
"3640","GO:0019432",0.381964533004624,0.765170243363771,7,41,"triglyceride biosynthetic process","BP"
"13950","GO:1905168",0.382004975586791,0.751953462727522,9,43,"positive regulation of double-strand break repair via homologous recombination","BP"
"4208","GO:0030473",0.382043456163494,0.88895721179492,2,5,"nuclear migration along microtubule","BP"
"1286","GO:0006072",0.382054367969112,0.873042509005584,2,8,"glycerol-3-phosphate metabolic process","BP"
"7515","GO:0046717",0.382062543380575,0.7737422367813,6,41,"acid secretion","BP"
"14464","GO:2000047",0.382064038343097,0.782944813845548,6,23,"regulation of cell-cell adhesion mediated by cadherin","BP"
"10679","GO:0072673",0.382064847206917,0.784218848234804,7,18,"lamellipodium morphogenesis","BP"
"6763","GO:0044458",0.382111558882691,0.740340949334461,10,78,"motile cilium assembly","BP"
"8660","GO:0060023",0.382137342463681,0.888908496520332,2,5,"soft palate development","BP"
"7040","GO:0045666",0.38217556867651,0.714115808854595,18,93,"positive regulation of neuron differentiation","BP"
"5950","GO:0036444",0.382284885253535,0.812797775174589,4,16,"calcium import into the mitochondrion","BP"
"10090","GO:0071353",0.382320659253645,0.74623749865809,11,37,"cellular response to interleukin-4","BP"
"2975","GO:0014020",0.382414097487312,0.708931525507799,21,92,"primary neural tube formation","BP"
"12653","GO:1902219",0.382594482314636,0.888671135599926,2,5,"negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress","BP"
"11946","GO:0141201",0.382603066631394,0.888666675783327,2,5,"pyroptotic cell death","BP"
"8951","GO:0060453",0.382748152942571,0.881174918157335,2,6,"regulation of gastric acid secretion","BP"
"9682","GO:0070189",0.382820933120773,0.867818088893444,2,10,"kynurenine metabolic process","BP"
"12792","GO:1902600",0.382943985432752,0.687702955467038,34,190,"proton transmembrane transport","BP"
"14103","GO:1905550",0.383086717505291,0.888415250720207,2,5,"regulation of protein localization to endoplasmic reticulum","BP"
"5969","GO:0036499",0.383260478177491,0.764642030357877,9,24,"PERK-mediated unfolded protein response","BP"
"6498","GO:0043207",0.383312110799258,0.642146226141153,300,1623,"response to external biotic stimulus","BP"
"107","GO:0000479",0.383350130431853,0.800420398730026,5,16,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"12306","GO:1901135",0.383386702267895,0.648523464593572,182,995,"carbohydrate derivative metabolic process","BP"
"5398","GO:0034454",0.383509447312986,0.820313145737755,4,12,"microtubule anchoring at centrosome","BP"
"4489","GO:0031670",0.383655375725456,0.73666397677107,12,48,"cellular response to nutrient","BP"
"4393","GO:0031338",0.383680323373149,0.765948167172238,7,35,"regulation of vesicle fusion","BP"
"4320","GO:0031033",0.383715307310339,0.865482040153043,3,6,"myosin filament organization","BP"
"4039","GO:0022410",0.383793471256744,0.826618980742171,3,20,"circadian sleep/wake cycle process","BP"
"12","GO:0000041",0.383823961199724,0.704906618641641,22,103,"transition metal ion transport","BP"
"13611","GO:1904429",0.383909191933303,0.855740003014437,3,7,"regulation of t-circle formation","BP"
"10870","GO:0090128",0.383943715601733,0.778875813534771,6,26,"regulation of synapse maturation","BP"
"359","GO:0001910",0.383990605867061,0.709868614578317,19,100,"regulation of leukocyte mediated cytotoxicity","BP"
"13749","GO:1904738",0.384176506836486,0.757146904920752,9,30,"vascular associated smooth muscle cell migration","BP"
"8340","GO:0051443",0.384178339173248,0.806839499632696,4,20,"positive regulation of ubiquitin-protein transferase activity","BP"
"6549","GO:0043335",0.384186469294643,0.887842422562991,2,5,"protein unfolding","BP"
"8213","GO:0051142",0.384192172327071,0.880380312013237,2,6,"positive regulation of NK T cell proliferation","BP"
"4631","GO:0032309",0.384321609128557,0.754303015347775,8,48,"icosanoid secretion","BP"
"6960","GO:0045541",0.384331421625686,0.887766804623312,2,5,"negative regulation of cholesterol biosynthetic process","BP"
"11621","GO:0106119",0.384331421625686,0.887766804623312,2,5,"negative regulation of sterol biosynthetic process","BP"
"12914","GO:1902952",0.384337454326494,0.887763656927876,2,5,"positive regulation of dendritic spine maintenance","BP"
"8953","GO:0060456",0.384344949581516,0.830716082075193,3,15,"positive regulation of digestive system process","BP"
"10533","GO:0072223",0.384355567191329,0.887754205857085,2,5,"metanephric glomerular mesangium development","BP"
"14517","GO:2000169",0.384631009106399,0.843998644215603,3,9,"regulation of peptidyl-cysteine S-nitrosylation","BP"
"4398","GO:0031343",0.384706418856014,0.727125772668898,13,71,"positive regulation of cell killing","BP"
"1172","GO:0003338",0.384771566098071,0.775173415926946,6,31,"metanephros morphogenesis","BP"
"7503","GO:0046686",0.384783408913808,0.753452962796789,8,50,"response to cadmium ion","BP"
"5774","GO:0035878",0.38480636956034,0.837456395991188,3,11,"nail development","BP"
"3944","GO:0021854",0.384880638924378,0.801043488139267,4,29,"hypothalamus development","BP"
"5481","GO:0035023",0.384910586704508,0.709350508481943,20,84,"regulation of Rho protein signal transduction","BP"
"10669","GO:0072656",0.385030708851218,0.887401622547052,2,5,"maintenance of protein location in mitochondrion","BP"
"2979","GO:0014031",0.385151956925569,0.879850634260164,2,6,"mesenchymal cell development","BP"
"5842","GO:0036037",0.385227535106288,0.768676533935582,7,28,"CD8-positive, alpha-beta T cell activation","BP"
"14425","GO:1990926",0.385230272762165,0.899705770526188,2,4,"short-term synaptic potentiation","BP"
"3348","GO:0016185",0.385240831431083,0.816377545565697,4,13,"synaptic vesicle budding from presynaptic endocytic zone membrane","BP"
"4378","GO:0031272",0.38524516216592,0.806716137692981,5,13,"regulation of pseudopodium assembly","BP"
"4379","GO:0031274",0.38524516216592,0.806716137692981,5,13,"positive regulation of pseudopodium assembly","BP"
"11425","GO:0098911",0.385347883366915,0.819017257408368,4,12,"regulation of ventricular cardiac muscle cell action potential","BP"
"10630","GO:0072522",0.385391344957178,0.676298737452616,45,261,"purine-containing compound biosynthetic process","BP"
